,avg_d_mbps,avg_u_mbps,tests,devices,long,lat,location
65913,188.405,94.296,1,1,153.1411743164065,-27.5107074248416,POINT (153.1411743164065 -27.5107074248416)
66036,125.939,113.385,13,2,153.43231201171903,-28.185822748548144,POINT (153.432312011719 -28.18582274854814)
66054,153.237,78.904,1,1,150.8724975585935,-33.7996911428192,POINT (150.8724975585935 -33.7996911428192)
66189,114.22,4.696,1,1,153.234558105469,-27.466850492327396,POINT (153.234558105469 -27.4668504923274)
66355,113.332,106.705,4,2,149.1641235351565,-35.32857106019651,POINT (149.1641235351565 -35.32857106019651)
66408,322.536,221.521,1,1,153.0917358398435,-27.427851895796103,POINT (153.0917358398435 -27.4278518957961)
66452,167.371,175.539,5,1,152.8994750976565,-26.73334602128455,POINT (152.8994750976565 -26.73334602128455)
66467,108.096,19.175,19,3,145.4067993164065,-36.3837016024912,POINT (145.4067993164065 -36.3837016024912)
66575,211.228,173.2,28,8,122.3519897460935,-29.80966760887375,POINT (122.3519897460935 -29.80966760887375)
66697,321.617,29.826,11,1,152.4325561523435,-31.86122979641675,POINT (152.4325561523435 -31.86122979641675)
66849,104.08,122.066,11,1,138.007507324219,-33.18123799475855,POINT (138.007507324219 -33.18123799475855)
66987,111.072,141.657,7,5,145.1431274414065,-37.9939981664333,POINT (145.1431274414065 -37.9939981664333)
66997,160.243,28.487,4,3,115.7437133789065,-32.48427998076615,POINT (115.7437133789065 -32.48427998076615)
67003,202.081,32.982,5,1,146.3681030273435,-38.253279536341246,POINT (146.3681030273435 -38.25327953634125)
67120,264.013,17.278,18,2,152.4600219726565,-31.898546270557247,POINT (152.4600219726565 -31.89854627055725)
67185,321.229,40.487,5,1,144.6157836914065,-37.916034307845145,POINT (144.6157836914065 -37.91603430784514)
67220,120.394,167.879,4,1,116.672058105469,-31.651043344820398,POINT (116.672058105469 -31.6510433448204)
67257,233.962,37.751,2,2,147.2909545898435,-42.97853012281095,POINT (147.2909545898435 -42.97853012281095)
67500,117.343,33.879,7,2,145.3408813476565,-36.388123817506504,POINT (145.3408813476565 -36.3881238175065)
67518,175.911,18.16,3,1,150.8560180664065,-33.66721107082395,POINT (150.8560180664065 -33.66721107082395)
67604,218.055,37.84,1,1,144.36859130859347,-38.07620354469335,POINT (144.3685913085935 -38.07620354469335)
67995,273.389,26.73,2,1,130.932312011719,-12.48753205616705,POINT (130.932312011719 -12.48753205616705)
68100,271.821,41.363,27,7,144.934387207031,-37.55546503637645,POINT (144.934387207031 -37.55546503637645)
68114,242.416,37.99,1,1,146.30218505859347,-38.2834690229567,POINT (146.3021850585935 -38.2834690229567)
68301,293.637,278.538,1,1,115.88653564453098,-31.99643004760405,POINT (115.886535644531 -31.99643004760405)
68442,278.872,38.741,62,2,150.795593261719,-34.4861839325646,POINT (150.795593261719 -34.4861839325646)
68558,105.351,26.571,4,2,150.619812011719,-34.9107101745992,POINT (150.619812011719 -34.9107101745992)
68763,108.009,143.843,2,2,115.990905761719,-32.2708777728481,POINT (115.990905761719 -32.2708777728481)
68766,172.043,18.665,6,4,145.7528686523435,-16.9333326008151,POINT (145.7528686523435 -16.9333326008151)
68797,100.426,30.502,27,4,150.74066162109347,-34.073137381091854,POINT (150.7406616210935 -34.07313738109185)
68804,137.906,193.513,2,1,144.7640991210935,-37.820632814320454,POINT (144.7640991210935 -37.82063281432045)
68820,348.1,46.443,1,1,151.2240600585935,-33.8954971966502,POINT (151.2240600585935 -33.8954971966502)
68832,110.932,27.251,95,9,145.346374511719,-36.3881238175065,POINT (145.346374511719 -36.3881238175065)
68836,100.276,21.798,8,4,144.692687988281,-37.56417408906785,POINT (144.692687988281 -37.56417408906785)
68897,123.035,110.502,22,5,144.7640991210935,-37.80327381997615,POINT (144.7640991210935 -37.80327381997615)
68952,183.028,24.095,20,2,152.795104980469,-27.651905229626898,POINT (152.795104980469 -27.6519052296269)
69043,107.729,18.821,1,1,144.912414550781,-37.55546503637645,POINT (144.912414550781 -37.55546503637645)
69102,111.194,4.951,1,1,153.2290649414065,-27.710278683745454,POINT (153.2290649414065 -27.71027868374545)
69160,142.437,34.769,1,1,149.15313720703102,-35.2209412730153,POINT (149.153137207031 -35.2209412730153)
69214,165.728,147.307,5,1,121.000671386719,-28.180980852321504,POINT (121.000671386719 -28.1809808523215)
69305,161.143,104.093,1,1,150.3671264648435,-35.5165787077744,POINT (150.3671264648435 -35.5165787077744)
69399,153.722,183.335,2,1,140.7266235351565,-36.94769676088335,POINT (140.7266235351565 -36.94769676088335)
69428,160.653,36.991,1,1,146.31317138671903,-38.3179559259202,POINT (146.313171386719 -38.3179559259202)
69445,166.492,172.083,7,1,140.53436279296903,-34.273105624646945,POINT (140.534362792969 -34.27310562464694)
69598,105.888,41.936,3,1,138.606262207031,-35.0007535477115,POINT (138.606262207031 -35.0007535477115)
69674,205.018,20.164,6,4,143.879699707031,-37.65990646141826,POINT (143.879699707031 -37.65990646141826)
69803,197.715,37.671,2,2,146.999816894531,-36.033552862083845,POINT (146.999816894531 -36.03355286208384)
69883,201.554,29.36,47,5,149.1146850585935,-33.25476659912875,POINT (149.1146850585935 -33.25476659912875)
69939,146.548,83.047,14,5,145.1870727539065,-37.9983270652755,POINT (145.1870727539065 -37.9983270652755)
70029,149.263,95.189,11,11,151.1636352539065,-33.936524031009455,POINT (151.1636352539065 -33.93652403100945)
70349,160.66,23.094,47,2,145.5606079101565,-38.270532208092845,POINT (145.5606079101565 -38.27053220809285)
70350,123.178,35.608,4,1,146.2857055664065,-38.2834690229567,POINT (146.2857055664065 -38.2834690229567)
70425,145.39,28.73,7,5,152.95989990234347,-27.09091839733585,POINT (152.9598999023435 -27.09091839733585)
70456,218.23,29.476,3,2,143.8412475585935,-37.546754965748455,POINT (143.8412475585935 -37.54675496574846)
70466,108.029,18.028,1,1,144.9673461914065,-37.84232581743795,POINT (144.9673461914065 -37.84232581743795)
70499,114.058,4.856,1,1,153.20159912109352,-27.466850492327396,POINT (153.2015991210935 -27.4668504923274)
70538,102.137,37.286,1,1,149.131164550781,-35.23440281647455,POINT (149.131164550781 -35.23440281647455)
70597,101.619,73.895,27,7,138.518371582031,-34.87917163128485,POINT (138.518371582031 -34.87917163128485)
70723,223.406,31.201,8,4,144.379577636719,-38.175591822830505,POINT (144.379577636719 -38.1755918228305)
70763,151.865,29.166,4,1,146.33514404296898,-38.31364595963475,POINT (146.335144042969 -38.31364595963475)
70818,107.482,18.773,1,1,151.3339233398435,-33.456651271602304,POINT (151.3339233398435 -33.4566512716023)
70820,100.877,26.717,14,6,144.5718383789065,-37.720762877124905,POINT (144.5718383789065 -37.7207628771249)
70951,116.402,30.794,9,1,148.87847900390648,-21.158799783458296,POINT (148.8784790039065 -21.1587997834583)
70972,172.158,173.685,4,3,144.8519897460935,-37.69468767138464,POINT (144.8519897460935 -37.69468767138464)
70990,127.948,154.589,1,1,150.37261962890653,-35.5165787077744,POINT (150.3726196289065 -35.5165787077744)
70995,102.001,18.296,1,1,153.3554077148435,-27.89492178098545,POINT (153.3554077148435 -27.89492178098545)
71131,146.195,121.771,2,2,150.8340454101565,-33.8133842986749,POINT (150.8340454101565 -33.8133842986749)
71152,122.977,30.96,4,3,130.93231201171903,-12.444622800321499,POINT (130.932312011719 -12.4446228003215)
71214,148.478,121.086,2,2,149.1641235351565,-35.31960737480735,POINT (149.1641235351565 -35.31960737480735)
71219,272.406,231.534,1,1,145.2090454101565,-38.045928087448445,POINT (145.2090454101565 -38.04592808744844)
71633,132.467,69.579,1,1,119.50653076171899,-31.46849634989435,POINT (119.506530761719 -31.46849634989435)
71797,465.209,46.743,1,1,115.903015136719,-31.949831730847798,POINT (115.903015136719 -31.9498317308478)
71823,129.453,29.569,5,2,148.66424560546903,-20.295689508118695,POINT (148.664245605469 -20.29568950811869)
71832,143.007,33.904,1,1,149.153137207031,-35.2164535955798,POINT (149.153137207031 -35.2164535955798)
71848,133.447,19.588,58,17,145.1815795898435,-38.36534864420214,POINT (145.1815795898435 -38.36534864420214)
71852,246.43,217.084,6,4,153.102722167969,-27.432727474261455,POINT (153.102722167969 -27.43272747426145)
71946,114.703,114.212,3,3,145.110168457031,-37.981009937005254,POINT (145.110168457031 -37.98100993700525)
71954,228.805,32.059,1,1,149.153137207031,-35.225428702318794,POINT (149.153137207031 -35.22542870231879)
72083,290.623,35.081,4,1,115.06256103515649,-33.5528400806335,POINT (115.0625610351565 -33.5528400806335)
72424,125.819,63.521,5,2,152.8939819335935,-27.676231293470448,POINT (152.8939819335935 -27.67623129347045)
72587,154.089,46.133,5,1,151.8173217773435,-32.8126700409274,POINT (151.8173217773435 -32.8126700409274)
72704,103.594,23.333,23,5,148.1698608398435,-23.55643421909225,POINT (148.1698608398435 -23.55643421909225)
72895,114.982,18.424,2,1,153.4213256835935,-27.93375398953155,POINT (153.4213256835935 -27.93375398953155)
73062,108.086,17.44,1,1,150.7626342773435,-34.481655999184,POINT (150.7626342773435 -34.481655999184)
73298,102.076,18.783,2,1,153.3609008789065,-27.8657884777463,POINT (153.3609008789065 -27.8657884777463)
73300,124.174,17.681,2,2,147.433776855469,-35.12664796046545,POINT (147.433776855469 -35.12664796046545)
73396,102.825,51.499,4,4,152.9873657226565,-27.115368135517453,POINT (152.9873657226565 -27.11536813551745)
73403,126.667,31.209,2,1,145.1596069335935,-37.498831385363346,POINT (145.1596069335935 -37.49883138536335)
73527,103.288,5.828,1,1,145.104675292969,-37.97234984006504,POINT (145.104675292969 -37.97234984006504)
73561,459.013,45.457,3,1,145.06622314453097,-38.201496942027646,POINT (145.066223144531 -38.20149694202765)
73608,120.808,24.879,15,4,144.3685913085935,-38.1669547358861,POINT (144.3685913085935 -38.1669547358861)
73613,200.319,31.02,10,3,137.831726074219,-32.502812860581855,POINT (137.831726074219 -32.50281286058186)
73663,195.358,39.569,2,1,147.439270019531,-35.1311405976318,POINT (147.439270019531 -35.1311405976318)
73668,232.162,23.302,1,1,153.014831542969,-27.603236867531244,POINT (153.014831542969 -27.60323686753124)
73828,114.049,4.614,1,1,151.1856079101565,-33.71748620978615,POINT (151.1856079101565 -33.71748620978615)
73839,269.726,243.464,3,3,151.1636352539065,-33.93196646937485,POINT (151.1636352539065 -33.93196646937485)
73972,410.16,521.442,1,1,139.5181274414065,-35.310642695681594,POINT (139.5181274414065 -35.31064269568159)
74029,235.529,31.38,5,1,138.666687011719,-35.5344613030492,POINT (138.666687011719 -35.5344613030492)
74097,145.702,30.88,7,3,151.0537719726565,-33.8909374403408,POINT (151.0537719726565 -33.8909374403408)
74100,209.127,37.425,1,1,147.5381469726565,-42.79338518834365,POINT (147.5381469726565 -42.79338518834365)
74184,107.692,20.063,13,4,146.2417602539065,-38.175591822830505,POINT (146.2417602539065 -38.1755918228305)
74212,200.343,30.137,1,1,151.943664550781,-28.66408119670305,POINT (151.943664550781 -28.66408119670305)
74295,149.678,181.289,1,1,145.154113769531,-37.920367804027855,POINT (145.154113769531 -37.92036780402785)
74541,194.421,28.122,15,2,151.6854858398435,-30.522047271336703,POINT (151.6854858398435 -30.5220472713367)
74619,136.796,32.504,1,1,144.3466186523435,-38.11078872675545,POINT (144.3466186523435 -38.11078872675545)
74757,115.866,34.477,23,8,152.8500366210935,-27.651905229626895,POINT (152.8500366210935 -27.65190522962689)
74798,191.415,219.54,1,1,148.142395019531,-36.22433445393095,POINT (148.142395019531 -36.22433445393095)
74799,155.7,18.839,3,2,150.949401855469,-33.7768643475017,POINT (150.949401855469 -33.7768643475017)
74832,103.215,33.258,2,1,146.291198730469,-38.283469022956695,POINT (146.291198730469 -38.28346902295669)
74923,203.653,16.013,6,1,149.21356201171903,-35.36889534403175,POINT (149.213562011719 -35.36889534403175)
74967,165.166,98.579,1,1,153.15216064453097,-27.510707424841595,POINT (153.152160644531 -27.51070742484159)
75403,108.354,18.425,1,1,147.13714599609352,-41.41183569834345,POINT (147.1371459960935 -41.41183569834345)
75483,119.924,29.265,4,4,144.3246459960935,-38.149677491629,POINT (144.3246459960935 -38.149677491629)
